df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score,match
tm_2454,fm_10215,Abdullah Al-Qahtani,1997-01-01,Abdullah Al-Mayouf,1987-01-23,Saudi Arabia,KSA,Damac FC,Al-Hilal (KSA),0.5539473684210526,
tm_9151,fm_9294,Riccardo Melgrati,1994-06-17,Riccardo Fagotti,2005-10-06,Italy,ITA,Calcio Lecco 1912,Perugia,0.5541176470588234,
tm_8768,fm_8424,Giuseppe Aurelio,2000-03-22,Giuseppe D'Angelo,2006-04-03,Italy,ITA,Palermo FC,Parthenope,0.5541176470588234,
tm_9153,fm_7256,Matteo Battistini,1994-02-18,Matteo Masini,2005-02-17,Italy,ITA,Calcio Lecco 1912,Empoli,0.5541176470588234,
tm_2921,fm_18177,Hengye Yan,2003-09-04,Sergio Caño,2003-09-04,China,ESP,,Elche,0.5545454545454545,
tm_3318,fm_2710,Tian Li,2002-02-19,Tobias Bech,2002-02-19,China,DEN,Nantong Zhiyun,FC Ingolstadt 04,0.5545454545454545,
tm_5119,fm_15171,Maga,2002-11-16,Miguel Maga,2002-11-16,Portugal,POR,Vitória Guimarães SC,VTSC,0.5545454545454545,
tm_3210,fm_10795,Ziyi Tian,2001-01-27,Zhang Yitao,2001-01-27,China,CHN,Shenzhen FC,CD Rongcheng,0.5545454545454545,
tm_10802,fm_2594,Sidi Sané,2003-04-21,Xavi Simons,2003-04-21,Germany,NED,Eintracht Braunschweig,PSV,0.5545454545454545,
tm_10766,fm_2389,Sebastian Saftig,2002-02-05,Sebastiano Esposito,2002-07-02,Germany,ITA,SV 07 Elversberg,RSC Anderlecht,0.5552631578947368,
tm_10781,fm_16852,Justin Duda,2003-02-05,Justin Smith,2003-02-04,Germany,CAN,Eintracht Braunschweig,QRM,0.5583333333333332,
tm_8579,fm_11594,Amadou Ba-Sy,2001-06-08,Amadou Onana,2001-08-16,France,BEL,USL Dunkerque,Everton,0.5583333333333332,
tm_1883,fm_2554,Nils Kaiser,2002-02-03,Nils Seufert,1997-02-03,Germany,GER,Rot-Weiss Essen,Fürth,0.5583333333333332,
tm_2496,fm_15963,Naif Asiri,2001-02-18,Nabil Alioui,1999-02-18,Saudi Arabia,FRA,Al-Okhdood Club,Havre AC,0.5583333333333332,
tm_8142,fm_13045,Danel Dongmo,2001-01-31,Daniel Dodds,2001-01-17,Cameroon,ENG,,Middlesbrough,0.5583333333333332,
tm_9632,fm_16756,Alberto Reina,1997-09-09,Alberto Costa,2003-09-29,Spain,POR,CD Mirandés,VTSC,0.5596153846153845,
tm_9574,fm_1544,Juan Gutiérrez,2000-01-28,Brian Gutiérrez,2003-06-17,Spain,USA,Racing Santander,Chicago,0.5599999999999999,
tm_8331,fm_14488,Sofiane Boudraa,2003-06-30,Sofiane Boufal,1993-09-17,France,MAR,Valenciennes FC,Angers SCO,0.5599999999999999,
tm_9114,fm_6576,Gabriel Lunetta,1996-08-10,Gabriel Paletta,1986-02-15,Italy,ITA,FC Südtirol,Brianza,0.5599999999999999,
tm_6226,fm_2770,Marcus Pedersen,2000-07-16,Mads Pedersen,1996-09-01,Norway,DEN,Feyenoord Rotterdam,FC Augsburg,0.5599999999999999,
tm_3249,fm_10622,Rong Chen,2001-01-26,Long Cheng,1995-03-22,China,CHN,Dalian Professional,Zhejiang,0.5599999999999999,
tm_1921,fm_4770,Thomas Kok,1998-05-15,Thomas Cox,2002-02-10,Netherlands,NED,Preußen Münster,N.E.C. Nijmegen,0.5599999999999999,
tm_8937,fm_8100,Lorenzo Libutti,1997-09-17,Lorenzo Pivetti,2005-04-03,Italy,ITA,AC Reggiana 1919,Sassuolo,0.5599999999999999,
tm_3221,fm_10701,Ning Li,2001-10-20,Ning An,1995-10-08,China,CHN,Shenzhen FC,GZ City,0.56,
tm_2794,fm_5736,Marcel Gaus,1989-08-02,Marcel Zajusch,2006-08-19,Germany,POL,1.FC Saarbrücken,RB Leipzig,0.56,
tm_10490,fm_5939,Muhammed Damar,2004-04-09,Muhammed Atak,2004-01-22,Germany,GER,TSG 1899 Hoffenheim,FC Ingolstadt 04,0.56,
tm_2453,fm_10340,Abdulaziz Al-Shahrani,1994-10-29,Abdulaziz Al-Bishi,1994-03-11,Saudi Arabia,KSA,Damac FC,Al-Ittihad,0.56,
tm_6735,fm_14282,Alberto Marí,2001-07-11,Alberto Moreno,1992-07-05,Spain,ESP,Valencia CF,Villarreal,0.56,
tm_5292,fm_16445,Gonçalo Franco,2000-11-17,Gonçalo Pinto,2000-04-30,Portugal,POR,Moreirense FC,Chaves,0.56,
tm_2281,fm_10236,Mohammed Al-Dhulayfi,2000-05-12,Mohammed Al-Kuwaykibi,1994-12-02,Saudi Arabia,KSA,Al-Taawoun FC,Al-Ettifaq,0.56,
tm_10422,fm_11477,Michael Langer,1985-01-06,Michael Keane,1993-01-11,Austria,ENG,FC Schalke 04,Everton,0.56,
tm_9083,fm_6354,Mattia Zennaro,2000-08-03,Mattia Destro,1991-03-20,Italy,ITA,Feralpisalò,Empoli,0.56,
tm_5326,fm_3798,Matías Lacava,2002-10-24,Matías Galarza,2002-03-04,Venezuela,ARG,,KRC Genk,0.56,
tm_2046,fm_2750,Dennis Chessa,1992-10-19,Dennis Dressel,1998-10-26,Germany,GER,SSV Ulm 1846,Hansa Rostock,0.56,
tm_8839,fm_1140,Brenno,1999-04-01,Brenner,2000-01-16,Brazil,BRA,,Cincinnati,0.56,
tm_3177,fm_11199,Xin Luo,1990-02-07,Jin Nuo,2001-08-02,China,CHN,Henan FC,Shandong,0.56,
tm_6858,fm_7085,Edgar González,1997-04-01,Joan González,2002-02-01,Spain,ESP,UD Almería,Salento,0.56,
tm_9701,fm_3419,Pedro Mosquera,1988-04-21,Pedro Marques,1998-04-25,Spain,POR,AD Alcorcón,N.E.C. Nijmegen,0.56,
tm_2044,fm_3358,Nicolas Jann,1992-03-21,Nicolas Madsen,2000-03-17,Germany,DEN,SSV Ulm 1846,Westerlo,0.56,
tm_3373,fm_9872,Abdulkarim Darisi,2003-04-18,Abdulkadir Taşdan,2003-06-18,Saudi Arabia,TUR,Al-Ahli SFC,Kayserispor,0.5617647058823529,
tm_4656,fm_1894,Metehan Mert,1999-05-01,Mattias Svanberg,1999-01-05,Turkey,SWE,Konyaspor,VfL Wolfsburg,0.5625,
tm_5382,fm_14731,Héctor Hernández,1995-09-14,Héctor,1995-09-14,Spain,ESP,GD Chaves,Chaves,0.5625,
tm_4999,fm_3025,Casper Tengstedt,2000-06-01,Jesper Daland,2000-01-06,Denmark,NOR,SL Benfica,Cercle Brugge,0.5625,
tm_9542,fm_16860,Miguel Ángel Morro,2000-09-11,Miguel Ángel Ruiz,2002-04-09,Spain,ESP,Rayo Vallecano,Villarreal B,0.5655555555555556,
tm_5205,fm_1640,Jesús Castillo,2001-06-11,Jesús Castellano,2004-03-22,Peru,VEN,Gil Vicente FC,New York,0.56875,
tm_9431,fm_18105,Fernando Medrano,2000-03-26,Fernando Moreno,2004-10-15,Spain,ESP,CD Tenerife,Leganés,0.56875,
tm_5321,fm_3840,Pedro Ortiz,2000-08-19,Pedro Ruiz,2000-03-30,Spain,ESP,,N.E.C. Nijmegen,0.5690909090909091,
tm_5428,fm_15515,Diogo Paulo,2001-07-06,Diogo Pinto,1999-06-29,Portugal,POR,SC Farense,Casa Pia,0.5690909090909091,
tm_4095,fm_15422,Noah Sadiki,2004-12-17,Noah Fadiga,1999-12-03,Belgium,SEN,Royale Union Saint-Gilloise,Brest,0.5690909090909091,
tm_9630,fm_17248,Álvaro Sanz,2001-02-14,Álvaro Díaz,2005-02-05,Spain,ESP,CD Mirandés,Sevilla,0.5690909090909091,
tm_3517,fm_4543,Silvano Vos,2005-03-16,Delano Vos,2005-01-15,Netherlands,NED,Ajax Amsterdam,FC Utrecht,0.5690909090909091,
tm_9780,fm_1094,Glen Kamara,1995-10-28,Ola Kamara,1989-10-15,Finland,NOR,Leeds United,D.C. United,0.5690909090909091,
tm_5394,fm_15865,Tiago Dias,1998-05-04,Tiago Djaló,2000-04-09,Portugal,POR,Casa Pia AC,LOSC,0.5690909090909091,
tm_1782,fm_2365,Marco Wolf,2001-02-05,Marius Wolf,1995-05-27,Germany,GER,Hallescher FC,Borussia Dortmund,0.5690909090909091,
tm_9462,fm_14772,Álex Balboa,2001-03-06,Álex Baena,2001-07-20,Equatorial Guinea,ESP,Deportivo Alavés,Villarreal,0.5690909090909091,
tm_3298,fm_6673,Marko Saric,1998-11-28,Marko Pajac,1993-05-11,Serbia,CRO,Qingdao Hainiu,Genoa,0.5690909090909091,
tm_5467,fm_18312,Arnau Tenas,2001-05-30,Arnau Sans,2004-10-05,Spain,ESP,Paris Saint-Germain,Espanyol,0.5690909090909091,
tm_4795,fm_12195,Ryan Mendes,1990-01-08,Ryan Hedges,1995-07-08,Cape Verde,WAL,Fatih Karagümrük,Blackburn,0.5690909090909091,
tm_3699,fm_11099,Camiel Neghli,2001-11-06,Chen Wenlei,2001-11-06,Algeria,CHN,Sparta Rotterdam,CZ Mighty Lions,0.5692307692307692,
tm_1540,fm_6966,Luka Gavran,2000-05-09,Liam Kerrigan,2000-05-09,Canada,IRL,Toronto FC,Como,0.5692307692307692,
tm_2891,fm_10260,Zhipeng Jiang,1989-03-06,Jiang Zhipeng,1989-03-06,China,CHN,Wuhan Three Towns,Shenzhen,0.5692307692307692,
tm_9304,fm_15982,Lucas Ahijado,1995-01-30,Lucas,1995-01-30,Spain,ESP,Real Oviedo,Oviedo,0.5692307692307692,
tm_3199,fm_10491,Zichang Huang,1997-04-04,Huang Zichang,1997-04-04,China,CHN,Henan FC,Henan,0.5692307692307692,
tm_9332,fm_7289,Enol Coto,2001-03-23,Edoardo Corvi,2001-03-23,Spain,ITA,Sporting Gijón,Parma,0.5692307692307692,
tm_1164,fm_14709,Ian Harkes,1995-03-30,Ivo Rodrigues,1995-03-30,United States,POR,New England Revolution,Famalicão,0.5692307692307692,
tm_1518,fm_16029,Jonathan Dean,1997-05-15,Javi Díaz,1997-05-15,United States,ESP,Chicago Fire FC,Tenerife,0.5692307692307692,
tm_2901,fm_11263,Xiaobin Zhang,1993-10-23,Fabinho,1993-10-23,China,BRA,Wuhan Three Towns,Liverpool,0.5692307692307692,
tm_6770,fm_15958,Kevin Vázquez,1993-03-23,Kevin,1993-03-23,Spain,ESP,Celta de Vigo,Vigo,0.5692307692307692,
tm_3083,fm_10881,Bingliang Yan,2000-04-03,Yan Bingliang,2000-04-03,China,CHN,Tianjin Jinmen Tiger,Tianjin,0.5692307692307692,
tm_3147,fm_11122,Liangkuan Jin,2002-01-28,Jin Liangkuan,2002-01-28,China,CHN,Meizhou Hakka,GZ City,0.5692307692307692,
tm_2026,fm_17705,Simon Dorfner,2004-09-22,Hugo Barbier,2004-09-22,Germany,FRA,SpVgg Unterhaching,RC Lens,0.5692307692307692,
tm_5224,fm_3478,Alan Gobetti,2001-02-12,Iman Griffith,2001-12-02,Brazil,NED,GD Estoril Praia,AZ,0.5692307692307692,
tm_10090,fm_11883,Ryan Mmaee,1997-11-01,Ryan Yates,1997-11-21,Morocco,ENG,Stoke City,Nottm Forest,0.57,
tm_9020,fm_7646,Andrea Ghion,2000-02-23,Andrea Bozzolan,2004-02-23,Italy,ITA,US Sassuolo,Milan,0.57,
tm_10277,fm_3100,Dominic Iorfa,1995-06-24,Dominic Baumann,1995-04-24,England,GER,Sheffield Wednesday,FSV Zwickau,0.57,
tm_3836,fm_11477,Michael Brouwer,1993-01-21,Michael Keane,1993-01-11,Netherlands,ENG,Heracles Almelo,Everton,0.57,
tm_6255,fm_16910,Antonio Tikvic,2004-04-21,António Ribeiro,2004-03-21,Croatia,POR,Udinese Calcio,FC Porto,0.57,
tm_3063,fm_10901,Shuaihang Feng,2001-01-21,Chen-Zheng Feng,2001-01-26,China,CHN,Changchun Yatai,Guangzhou,0.57,
tm_2402,fm_10359,Abdullah Al-Mogren,1996-11-16,Abdullah Al-Khaibari,1996-08-16,Saudi Arabia,KSA,Al-Fateh SC,Al-Nassr (KSA),0.57,
tm_9354,fm_17478,Álex Valle,2004-04-25,Alex Varó,2004-03-04,Spain,ESP,FC Barcelona,Almería,0.57,
tm_2575,fm_10376,Ammar Al-Najjar,1997-02-27,Sami Al-Najai,1997-02-07,Saudi Arabia,KSA,Al-Hazem SC,Al-Nassr (KSA),0.57,
